City,State,Provider_number,Distinct_Referral_Pairs,Referral_Volume,Total_Num_Referral_Triples_sum
ABBEVILLE,ALABAMA,5,32,31345,32
ABBEVILLE,LOUISIANA,38,347,122187,347
ABBEVILLE,SOUTH CAROLINA,17,141,67245,141
ABERDEEN,IDAHO,1,1,109,1
ABERDEEN,MARYLAND,21,53,19473,53
ABERDEEN,MISSISSIPPI,9,69,58560,69
ABERDEEN,NEW JERSEY,2,2,273,2
ABERDEEN,NORTH CAROLINA,5,8,3391,8
ABERDEEN,SOUTH DAKOTA,133,4478,1002250,4478
ABERDEEN,WASHINGTON,60,1156,344933,1156
ABERNATHY,TEXAS,1,1,35,1
ABILENE,KANSAS,21,199,107059,199
ABILENE,TEXAS,317,17736,3618294,17736
ABINGDON,MARYLAND,7,29,4037,29
ABINGDON,VIRGINIA,125,3167,674475,3167
ABINGTON,MASSACHUSETTS,5,6,1232,6
ABINGTON,PENNSYLVANIA,273,12166,1532330,12166
ABIQUIU,NEW MEXICO,1,1,237,1
ABSAROKEE,MONTANA,2,3,879,3
ABSECON,NEW JERSEY,7,11,3688,11
ACKERMAN,MISSISSIPPI,4,17,4601,17
ACKLEY,IOWA,5,24,17607,24
ACME,MICHIGAN,2,3,766,3
ACOMA,NEW MEXICO,2,5,2117,5
ACTON,MASSACHUSETTS,23,117,12893,117
ACWORTH,GEORGIA,10,28,3730,28
ADA,MINNESOTA,5,21,11973,21
ADA,OHIO,2,4,237,4
ADA,OKLAHOMA,110,1568,367018,1568
ADAIRSVILLE,GEORGIA,2,2,421,2
ADAMS,MASSACHUSETTS,9,33,5456,33
ADAMSVILLE,ALABAMA,3,4,172,4
ADAMSVILLE,TENNESSEE,4,7,2196,7
ADDISON,ALABAMA,1,1,90,1
ADDISON,ILLINOIS,9,18,6331,18
ADDISON,TEXAS,27,51,13259,51
ADEL,GEORGIA,4,23,15477,23
ADEL,IOWA,7,14,1685,14
ADJUNTAS,PUERTO RICO,7,20,1482,20
ADRIAN,MICHIGAN,75,931,280648,931
ADRIAN,MINNESOTA,2,3,210,3
ADRIAN,MISSOURI,1,1,3193,1
ADVANCE,NORTH CAROLINA,12,29,7432,29
AFTON,OKLAHOMA,1,1,421,1
AFTON,VIRGINIA,2,2,1005,2
AFTON,WYOMING,14,104,26800,104
AGAWAM,MASSACHUSETTS,14,55,5289,55
AGOURA HILLS,CALIFORNIA,10,13,1359,13
AGUADA,PUERTO RICO,13,26,1948,26
AGUADILLA,PUERTO RICO,51,219,16959,219
AGUAS BUENAS,PUERTO RICO,1,1,26,1
AGUIRRE,PUERTO RICO,1,1,58,1
AHOSKIE,NORTH CAROLINA,41,797,262190,797
AIBONITO,PUERTO RICO,45,148,28235,148
AIEA,HAWAII,114,1172,158492,1172
AIKEN,SOUTH CAROLINA,164,6490,1305782,6490
AINSWORTH,NEBRASKA,5,20,7786,20
AIRMONT,NEW YORK,11,49,8841,49
AITKIN,MINNESOTA,24,303,131051,303
AJO,ARIZONA,4,8,1591,8
AKRON,COLORADO,3,8,4363,8
AKRON,INDIANA,3,4,460,4
AKRON,IOWA,3,5,1187,5
AKRON,OHIO,828,32846,4184543,32846
AKWESASNE,NEW YORK,4,10,1750,10
ALABASTER,ALABAMA,79,2072,509619,2072
ALACHUA,FLORIDA,6,9,2184,9
ALAMEDA,CALIFORNIA,62,664,101652,664
ALAMO,CALIFORNIA,5,13,1034,13
ALAMO,TENNESSEE,7,37,11084,37
ALAMO,TEXAS,3,7,5104,7
ALAMOGORDO,NEW MEXICO,67,1567,467061,1567
ALAMOSA,COLORADO,47,661,121140,661
ALB,NEW MEXICO,1,1,33,1
ALBANY,CALIFORNIA,9,16,877,16
ALBANY,GEORGIA,255,11820,2178063,11820
ALBANY,INDIANA,2,3,1036,3
ALBANY,KENTUCKY,13,109,87123,109
ALBANY,MINNESOTA,5,26,28309,26
ALBANY,MISSOURI,5,36,46095,36
ALBANY,NEW YORK,1040,34922,4396247,34922
ALBANY,OREGON,110,692,130301,692
ALBANY,TEXAS,3,8,2262,8
ALBEMARLE,NORTH CAROLINA,79,2013,480670,2013
ALBERT LEA,MINNESOTA,70,952,353942,952
ALBERTVILLE,ALABAMA,32,331,107992,331
ALBIA,IOWA,7,52,34460,52
ALBION,ILLINOIS,2,3,1152,3
ALBION,INDIANA,1,1,210,1
ALBION,MAINE,5,11,10596,11
ALBION,MICHIGAN,2,3,877,3
ALBION,NEBRASKA,13,171,109835,171
ALBION,NEW YORK,2,2,98,2
ALBION,PENNSYLVANIA,1,1,43,1
ALBRIGHTSVILLE,PENNSYLVANIA,2,2,177,2
ALBUQUERQUE,NEW MEXICO,1789,36695,4893096,36695
ALCESTER,SOUTH DAKOTA,1,2,383,2
ALCOA,TENNESSEE,46,446,56382,446
ALDEN,NEW YORK,4,10,1753,10
ALDERSON,WEST VIRGINIA,1,1,190,1
ALDIE,VIRGINIA,3,4,499,4
ALEDO,ILLINOIS,9,76,43346,76
ALEDO,TEXAS,3,4,1013,4
ALEXANDER CITY,ALABAMA,41,980,552516,980
ALEXANDRIA,INDIANA,2,2,141,2
ALEXANDRIA,KENTUCKY,4,11,2822,11
ALEXANDRIA,LOUISIANA,302,16759,3668705,16759
